id,nickname,codi_postal,genere,rang_edat,nivell_estudis,situacio_laboral,estat_civil,num_jugador,acabat,diners_inicials,num_seleccions,guany_final,partida_id,vals,origen,pais,residencia,enquesta_final_pr1,enquesta_final_pr2,enquesta_final_pr3,enquesta_final_pr4,enquesta_final_pr5,enquesta_final_pr6,enquesta_final_pr7,enquesta_final_pr8,enquesta_final_pr9,enquesta_final_pr10,enquesta_final_pr11,enquesta_final_pr12,enquesta_final_pr13,bots
24,Schatzi,8840,M,r2,r4,r2,r6,4,1,40,10,18,4,2,r1,Spain,r1,r1,r2,r6,r2 ,r2,r7 ,r3,r5,r2,r1,r2,r2 ,Reemplazar viejos toldos por unos nuevos y modernos.,0
25,Chuvi,8810,M,r5,r6,r3,r2,2,1,40,10,20,5,3,r1,Spain,r1,r4,r1,r1,r1 ,r2,r6 r11 ,r4,r3,r5,r4,r2,r1 ,"Espais verds
",0
26,Tempus,8860,M,r4,r6,r3,r2,6,1,40,10,20,5,3,r1,Spain,r1,r2,r1,r3,r1 ,r2,r5 r8 ,r7,r4,r5,r2,r1,r1 ,"Alguna opcion deportiva
",0
27,Judithpink,8840,F,r1,r3,r3,r1,4,1,40,10,16,5,2,r1,Spain,r1,r1,r2,r1,r1 ,r3,r11 ,r3,r3,r5,r1,r2,r1 ,"Que no haya mala gente,que hayan mas controles de policia por que siempre ahi menores fumando marihuana y apenas se puede pasear con los nií±os.Y mas zonas verdes.",0
28,Primavera,8840,F,r4,r5,r1,r1,5,1,40,10,26,5,3,r1,Spain,r1,r1,r2,r4,r1 r4 ,r1,na,r6,r3,r5,r1,r2,r1 r6 ,Usar mas los espacios para hacer actividades los fines de semana para las familias y mas zonas verdes,0
29,Mirca,8840,M,r3,r6,r3,r2,1,1,40,10,20,5,3,r1,Spain,r1,r2,r2,r1,r1 ,r2,r2 r4 r5 ,r3,r4,r5,r2,r3,r2 ,"Zonas de sombra, mas vegetacion
",0
30,Anna,8840,M,r5,r6,r3,r2,3,1,40,10,14,5,2,r1,Spain,r1,r1,r2,r1,r1 ,r2,r3 r6 r9 r10 ,r7,r2,r1,r1,r2,r1 ,Mes verd i menys sorroll,0
31,Bernaz,8840,M,r7,r2,r1,r2,5,1,40,10,6,6,1,r1,Spain,r1,r1,r2,r3,r1 ,r2,r6 ,r3,r5,r4,r2,r2,r1 r2 ,"Comercio
",0
32,Yolanda,8840,F,r5,r2,r1,r2,4,1,40,10,12,6,2,r1,Spain,r1,r1,r1,r4,r1 ,r1,na,r3,r3,r1,r2,r1,r5 ,Arreglar pavimento y mas verde le falta luz en sentido que esta apagada,0
33,Macame,8840,F,r5,r6,r3,r5,3,1,40,10,24,6,3,r1,Spain,r1,r2,r1,r3,r1 ,r1,na,r4,r5,r4,r2,r2,r1 ,Tiendas.,0
34,cristicoteca,8840,M,r5,r6,r3,r2,1,1,40,10,14,6,2,r1,Spain,r1,r1,r2,r6,r1 r2 r5 ,r2,r2 r3 r4 r11 ,r4,r4,r1,r1,r2,r1 r2 r4 ,Mes botigues,0
35,Juanmi,8840,M,r5,r2,r3,r2,2,1,40,10,2,6,1,r1,Spain,r1,r2,r2,r3,r1 r4 ,r2,r4 r5 r6 r7 r8 ,r3,r3,r1,r1,r2,r1 ,Míçs tranquilidad,0
36,Toni,8840,M,r5,r5,r3,r2,6,1,40,10,12,6,2,r1,Spain,r1,r1,r2,r4,r4 ,r1,na,r5,r4,r1,r1,r2,r2 ,Restrincon del trafico,0
37,Sam,8840,M,r5,r6,r3,r2,2,1,40,10,18,7,2,r1,Spain,r1,r2,r2,r1,r1 ,r2,r7 r10 ,r3,r5,r1,r2,r3,r2 ,"Espacios con musica
",0
38,Princesa,8849,F,r5,r6,r3,r2,3,1,40,10,20,7,3,r1,Spain,r1,r3,r2,r6,r1 ,r2,r11 ,r4,r2,r1,r4,r3,r1 r5 ,Botigues,0
39,Indespope,8840,M,r5,r6,r3,r2,5,1,40,10,20,7,3,r1,Spain,r1,r2,r2,r1,r1 ,r2,r4 ,r4,r1,r5,r4,r3,r1 ,Espacio verde para pasear ,0
40,Nandii,8850,M,r5,r6,r3,r3,4,1,40,10,14,7,2,r1,Spain,r1,r1,r2,r3,r1 ,r2,r2 ,r2,r2,r5,r4,r2,r5 ,"Mes vegetacio
",0
41,Floreta,8840,M,r5,r6,r3,r2,1,1,40,10,18,7,2,r1,Spain,r1,r3,r2,r2,r6 ,r1,na,r3,r3,r5,r2,r3,r2 ,Mí©s espai per seure,0
42,Caramelo 007,8850,M,r2,r5,r3,r1,6,1,40,10,22,7,3,r1,Spain,r1,r2,r2,r5,r2 ,r1,na,r3,r3,r1,r2,r3,r1 r2 ,"X
",0
43,Aiwen,8840,F,r3,r6,r3,r1,6,1,40,10,10,8,2,r1,Spain,r1,r4,r2,r3,r1 ,r3,r3 r4 ,r4,r1,r5,r5,r2,r5 ,".
",0
44,Jordi zg,8840,M,r1,r4,r2,r1,5,1,40,10,28,8,3,r1,Spain,r1,r2,r2,r2,r4 ,r2,r7 r8 r11 ,r5,r4,r3,r2,r2,r2 ,"Gent i mí©s tendes a part de bars
",0
45,Alucas1,8840,M,r5,r6,r3,r2,4,1,40,10,12,8,2,r1,Spain,r1,r2,r2,r3,r5 ,r2,r4 r6 r9 ,r3,r5,r3,r2,r2,r1 ,Espai lí_dic joves.,0
46,Chamo,8840,M,r6,r3,r3,r1,1,0,40,10,30,8,4,r2,Venezuela,r1,r1,r2,r1,r2 r4 ,r2,r2 r6 r8 r10 ,r3,r4,r4,r2,r2,r2 r5 r6 ,Espai ,0
47,Tros,8849,M,r5,r6,r3,r2,3,1,40,10,24,8,3,r1,Spain,r1,r2,r2,r3,r1 ,r2,r5 ,r1,r4,r1,r2,r2,r1 ,Llum,0
48,Marimar,8850,F,r6,r6,r3,r2,2,1,40,10,12,8,2,r1,Spain,r1,r5,r4,r6,r2 ,r1,na,r3,r2,r1,r4,r2,r2 ,Mas espacio verde.,0
49,Carla Castis,8840,M,r1,r4,r2,r1,2,1,40,10,6,9,1,r1,Spain,r1,r1,r2,r3,r4 ,r2,r1 r3 r5 r8 ,r5,r3,r2,r3,r1,r1 r2 r5 ,Botigues mí©s especí_fiques pels joves,0
50,Miriam99,8840,M,r1,r4,r2,r1,4,1,40,10,14,9,2,r1,Spain,r1,r2,r1,r1,r2 ,r2,r5 ,r3,r2,r5,r1,r2,r1 r2 r5 ,"Vegetacion
",0
51,Anna M,8840,M,r1,r3,r2,r1,3,1,40,10,22,9,3,r1,Spain,r1,r5,r4,r1,r2 ,r2,r2 ,r2,r1,r1,r5,r3,r2 ,Res,0
52,Miquel,8840,M,r1,r3,r2,r1,1,1,40,10,24,9,3,r1,Spain,r1,r1,r2,r3,r6 ,r2,r5 r6 r11 ,r4,r4,r4,r1,r2,r2 r6 ,"Res, perí_ a altres parts de viladecans si ( no tenim cinema ni piscina pí_blica)
",0
53,DavidPositivo,8840,M,r1,r3,r2,r1,6,1,40,10,26,9,3,r1,Spain,r1,r1,r2,r1,r6 ,r2,r11 ,r7,r3,r1,r2,r1,r4 ,Tiendas,0
54,Bernat,8840,M,r1,r3,r2,r1,5,1,40,10,22,9,3,r1,Spain,r1,r1,r2,r6,r5 ,r3,r3 r5 r9 ,r7,r4,r5,r1,r3,r2 ,"No m'agrada gaire l'arquitectura, falten espais verds i el paviment es horrorí_s.",0
55,Rosa,8840,M,r5,r5,r3,r2,5,1,40,10,0,10,0,r1,Spain,r1,r1,r2,r3,r6 ,r1,na,r2,r2,r1,r2,r2,r2 r4 r5 ,"Font
",0
56,Rtinoco,8840,M,r1,r3,r2,r1,2,1,40,10,0,10,0,r1,Spain,r1,r1,r2,r1,r2 ,r2,r6 ,r6,r4,r1,r2,r3,r3 ,Bares nocturnos,0
57,Ari,8840,M,r1,r2,r2,r1,6,1,40,10,0,10,0,r1,Spain,r1,r1,r2,r2,r2 ,r2,r2 r5 r6 r7 r8 ,r8,r2,r4,r2,r3,r2 ,"Fonts
",0
58,Noa,8840,F,r7,r5,r1,r2,4,1,40,10,0,10,0,r1,Spain,r1,r1,r2,r3,r6 ,r1,na,r3,r4,r1,r1,r2,r1 ,"Tota la rambla peatonal
",0
59,Raquel,8840,M,r2,r4,r2,r1,1,1,40,10,0,10,0,r1,Spain,r1,r1,r2,r4,r1 r2 r4 ,r2,r3 r7 r9 r10 ,r3,r5,r1,r1,r3,r2 r4 r5 ,"Míçs sitios de ocio juvenil
",0
60,Daniel,8840,M,r1,r4,r2,r1,3,0,40,10,0,10,0,r1,Spain,r1,r1,r3,r1,,r1,na,r5,r5,r1,r1,r3,r2 r4 r5 ,Nada,0
61,Notorious,8840,M,r1,r2,r2,r1,4,0,40,10,36,11,4,r1,Spain,r1,r1,r2,r3,r2 ,r2,r5 ,r3,r3,r1,r1,r2,r1 r2 r5 ,Bares de noche,0
62,Gerard,8840,M,r1,r3,r2,r1,6,0,40,10,24,11,3,r1,Spain,r1,r1,r2,r2,r4 ,r2,r2 r5 r6 r7 ,r6,r2,r1,r1,r3,r2 ,"Fonts
",0
63,Victor ,8840,M,r1,r3,r2,r1,2,0,40,10,16,11,2,r1,Spain,r1,r2,r2,r2,r2 ,r1,na,r2,r2,r1,r2,r2,r1 r2 r3 r5 ,Bancos,0
64,Aidita,8840,F,r1,r3,r2,r1,5,0,40,10,16,11,2,r1,Spain,r1,r1,r2,r2,r4 ,r2,r2 r10 ,r3,r5,r1,r1,r2,r2 ,Nose,0
65,Martatba,8840,M,r1,r3,r1,r1,3,0,40,10,10,11,2,r1,Spain,r1,r1,r2,r2,r4 ,r2,r7 ,r3,r4,r1,r1,r3,r2 ,Fonts,0
66,Guffals,8840,M,r1,r2,r2,r1,1,0,40,10,12,11,2,r1,Spain,r1,r1,r3,r2,r2 ,r2,r2 r5 r6 ,r1,r3,r1,r2,r2,r2 ,Neteja,0
67,Lidia,8840,F,r1,r2,r2,r1,5,1,40,10,14,12,2,r1,Spain,r1,r1,r2,r1,r2 ,r1,na,r5,r3,r4,r1,r2,r1 r2 r6 ,Que hayan tiendas conocidas,0
68,Laia klk,8840,F,r1,r2,r2,r1,1,1,40,10,12,12,2,r1,Spain,r1,r1,r2,r6,r2 ,r2,r2 r3 r4 r5 r11 ,r3,r5,r3,r1,r2,r2 ,Ns,0
69,Bryan,8840,M,r1,r3,r2,r1,2,1,40,10,28,12,3,r2,Honduras,r1,r1,r2,r2,r4 ,r2,r2 r8 ,r1,r4,r1,r4,r2,r2 ,Discotecas,0
70,SuSabateee,8840,M,r1,r3,r2,r3,NULL,0,0,0,0,NULL,0,r1,Spain,r1,,,,,,,,,,,,,,0
71,Alex,8840,M,r1,r2,r2,r1,6,1,40,10,24,12,3,r1,Spain,r1,r1,r2,r6,r1 ,r1,na,r3,r3,r4,r2,r2,r1 r2 r5 r6 ,Res,0
72,Vale,8540,M,r5,r6,r3,r2,3,1,40,10,16,12,2,r1,Spain,r1,r2,r2,r4,r1 ,r1,na,r4,r4,r4,r2,r2,r4 ,"Algun panel informativo de actividades en Viladecans para poder asistir.
",0
73,Susabate,8840,M,r1,r3,r2,r1,4,1,40,10,20,12,3,r1,Spain,r1,r1,r2,r3,r5 r6 ,r2,r2 r3 r5 ,r6,r4,r5,r1,r2,r2 r6 ,"A mi rambla no le falta nada.
",0
74,Sergio,8840,M,r1,r2,r2,r1,4,1,40,10,12,13,2,r2,Russia,r1,r1,r2,r4,r1 r2 r4 ,r2,r10 ,r2,r3,r4,r2,r3,r1 r2 r5 ,"Teatres, papelera, neteja
",0
75,David C,8840,M,r1,r3,r2,r1,1,1,40,10,22,13,3,r1,Spain,r1,r1,r2,r3,r2 ,r2,r11 ,r4,r4,r1,r2,r2,r4 ,"Espai de joc i actvitats
",0
76,Alons,8840,M,r7,r6,r1,r2,3,1,40,10,22,13,3,r1,Spain,r1,r1,r1,r5,r1 ,r1,na,r3,r4,r4,r1,r1,r6 ,"Neteixa
",0
77,Evelin,8840,M,r1,r3,r2,r1,6,1,40,10,14,13,2,r1,Spain,r1,r1,r2,r6,r6 ,r2,r1 r2 r7 ,r3,r2,r1,r2,r2,r1 ,Mas gente paseando,0
78,Vickyh,8840,F,r1,r2,r2,r1,2,1,40,10,22,13,3,r1,Spain,r1,r1,r2,r3,,r2,r2 r5 r7 ,r8,r3,r1,r2,r2,r1 r2 ,"Mes verd
",0
79,Nazaret,8840,M,r1,r3,r2,r1,5,1,40,10,24,13,3,r1,Spain,r1,r2,r2,r1,r2 ,r3,r7 ,r5,r3,r4,r2,r2,r2 ,"Gent, 
",0
80,Jaja,8840,M,r1,r3,r2,r1,1,1,40,10,14,14,2,r1,Spain,r1,r1,r3,r6,r3 ,r1,na,r3,r5,r1,r2,r1,r5 ,Comerí_,0
81,ep,8840,M,r5,r5,r3,r4,2,1,40,10,14,14,2,r1,Spain,r1,r1,r1,r6,r3 ,r2,r7 ,r3,r4,r5,r2,r3,r1 ,Mas zonas para el peaton,0
82,Liiidii,8840,F,r1,r3,r2,r3,3,1,40,10,18,14,2,r1,Spain,r1,r1,r2,r1,r1 r2 r3 r4 ,r2,r2 r3 r4 r5 r6 r8 r9 ,r1,r3,r5,r2,r2,r1 r2 r3 ,"Nada
",0
83,Ní_ria,8840,M,r4,r6,r3,r4,6,1,40,10,22,14,3,r1,Spain,r1,r2,r2,r3,r1 ,r2,r2 r7 r10 ,r4,r3,r5,r2,r3,r4 ,"Zonas verdes
",0
84,Ep,8840,M,r4,r6,r3,r2,5,0,40,10,18,14,2,r1,Spain,r1,r1,r2,r4,r4 ,r2,r2 r3 r4 ,r3,r3,r5,r4,r2,r4 ,Activitats culturals,0
85,Coco,8840,M,r1,r3,r2,r1,4,1,40,10,28,14,3,r1,Spain,r1,r1,r2,r6,r2 ,r1,na,r6,r4,r1,r2,r3,r2 r3 ,Falta verd,0
86,Pilar,8840,F,r5,r2,r1,r5,6,1,40,10,20,15,3,r1,Spain,r1,r1,r2,r3,r1 r3 r5 ,r2,r1 r3 r6 r7 r9 r11 ,r6,r1,r1,r1,r2,r1 ,"Aregrar suelo  
",0
87,Shius,8840,M,r3,r5,r3,r1,1,1,40,10,18,15,2,r1,Spain,r1,r2,r1,r6,r5 ,r2,r11 ,r5,r2,r2,r4,r3,r2 ,Nada,0
88,Ise,8840,M,r4,r2,r3,r1,4,1,40,10,4,15,1,r1,Spain,r1,r1,r2,r3,r3 r6 ,r2,r1 r2 r6 r8 r10 ,r3,r4,r1,r1,r2,r6 ,Mas espacio para que los nií±os juegue a la pelota,0
89,Xispas,8840,M,r3,r3,r3,r2,2,1,40,10,14,15,2,r1,Spain,r1,r2,r2,r3,r2 ,r1,na,r4,r2,r1,r3,r2,r1 ,"Buen pavimento y mas ambiente adolescente
",0
90,Tamy,8840,M,r3,r3,r3,r2,3,1,40,10,14,15,2,r1,Spain,r1,r4,r3,r1,r2 ,r1,na,r3,r3,r1,r4,r3,r2 ,Fuentes,0
91,Jamila,8840,F,r5,r2,r3,r5,5,1,40,10,22,15,3,r1,Spain,r1,r2,r2,r5,r6 ,r2,r11 ,r3,r5,r4,r1,r2,r1 ,Limpiarla un poco ,0
92,Salaina,8840,M,r3,r6,r3,r2,4,1,40,10,12,16,2,r1,Spain,r1,r1,r2,r3,r4 r5 r6 ,r2,r2 r5 r6 r7 r10 ,r7,r5,r5,r1,r2,r1 r4 ,"Mejora pavimento, alumbrado y zona verde.
",0
93,Bruixa,8840,F,r5,r5,r2,r2,3,1,40,10,32,16,4,r1,Spain,r1,r1,r2,r3,r5 ,r2,r2 r10 ,r3,r4,r1,r1,r1,r1 ,Una font i mes verd,0
94,Bberta,8840,M,r2,r6,r2,r1,2,1,40,10,8,16,1,r1,Spain,r1,r1,r3,r4,r1 ,r2,r2 r5 r8 ,r3,r5,r4,r1,r2,r1 r2 ,"Neteja
",0
95,Lupita,8840,M,r5,r6,r3,r2,5,1,40,10,16,16,2,r1,Spain,r1,r1,r2,r2,r2 r4 r5 ,r2,r8 ,r3,r2,r4,r2,r2,r1 ,Mas zonas verdes,0
96,Agustin,8840,M,r5,r6,r3,r2,6,1,40,10,18,16,2,r1,Spain,r1,r1,r2,r3,r1 r2 r4 ,r2,r4 r8 r9 ,r4,r3,r5,r1,r1,r1 ,".
",0
97,Ainhoa,8840,M,r1,r2,r2,r1,1,0,40,10,18,16,2,r1,Spain,r1,r1,r2,r1,r1 r2 r3 ,r2,r4 r6 r7 ,r4,r4,r1,r1,r2,r1 r2 ,Fuentes,0
98,Toni M,8840,M,r1,r3,r2,r1,1,1,40,10,18,17,2,r1,Spain,r1,r2,r2,r1,r2 ,r2,r5 ,r1,r4,r1,r2,r2,r1 ,Espai verd,0
99,Piltrafilla,8859,M,r6,r2,r3,r4,2,1,40,10,8,17,1,r1,Spain,r1,r1,r1,r3,r1 ,r2,r6 ,r5,r2,r1,r3,r2,r5 ,"zona para nií±os
",0
100,Crakiker,8840,M,r1,r2,r2,r1,5,1,40,10,40,17,5,r1,Spain,r1,r1,r2,r2,r4 ,r1,na,r7,r4,r1,r1,r2,r2 ,Nada,0
101,Casii,8840,M,r5,r3,r3,r2,6,1,40,10,22,17,3,r1,Spain,r1,r1,r2,r2,r4 ,r3,r3 r6 ,r3,r4,r1,r1,r2,r1 r5 r6 ,Mes espai verd,0
102,Tarsila,8840,F,r6,r2,r1,r5,4,1,40,10,6,17,1,r1,Spain,r1,r1,r2,r3,r1 ,r2,r2 ,r5,r5,r1,r1,r2,r1 ,"Arreglar el suelo
Poner las aceras para los minusvalidos",0
103,Blanes,8840,F,r5,r2,r3,r2,3,1,40,10,26,17,3,r1,Spain,r1,r1,r2,r1,r1 ,r1,na,r7,r3,r1,r1,r2,r1 ,Bares musicales,0
104,Rdecarva,8840,M,r3,r6,r3,r2,2,1,40,10,22,18,3,r2,Brasil,r1,r2,r3,r1,r1 r2 r6 ,r2,r2 r5 ,r3,r3,r4,r2,r3,r1 r2 ,Actividades,0
105,Nieves,8840,M,r6,r3,r3,r2,4,1,40,10,14,18,2,r1,Spain,r1,r2,r2,r5,r1 ,r1,na,r4,r2,r5,r2,r2,r5 ,Menos bares mas zona verde,0
106,Zaza,8840,M,r1,r3,r2,r1,5,1,40,10,14,18,2,r1,Spain,r1,r2,r2,r1,r2 ,r2,r2 r3 r4 r5 r8 ,r1,r3,r5,r2,r3,r2 ,Zones verdes i mes neteja,0
107,Jordicod55,8840,M,r1,r2,r2,r1,6,1,40,10,26,18,3,r1,Spain,r1,r1,r2,r6,r4 ,r2,r11 ,r3,r3,r5,r4,r3,r2 r6 ,Karaoke,0
108,Alvaro,8840,M,r1,r3,r3,r1,3,1,40,10,24,18,3,r1,Spain,r1,r1,r2,r3,r2 ,r3,r1 ,r5,r3,r1,r1,r2,r1 r2 r5 ,"Res
",0
109,Oli,8840,M,r5,r6,r3,r2,1,1,40,10,16,18,2,r1,Spain,r1,r1,r2,r1,r1 ,r2,r4 ,r4,r4,r5,r1,r3,r6 ,Espais verds i de joc,0
110,Bellota,8840,M,r1,r3,r2,r1,2,1,40,10,32,19,4,r1,Spain,r1,r2,r2,r2,r4 ,r3,r11 ,r4,r3,r5,r3,r3,r1 ,Discoteca,0
111,Sariita0503,8840,M,r1,r3,r2,r1,4,1,40,10,18,19,2,r1,Spain,r1,r2,r1,r2,r2 ,r1,na,r4,r3,r4,r2,r2,r2 ,Carrers mí©s nets i mí©s vius i amb bona olor,0
112,Xavi,8840,M,r1,r3,r2,r1,3,1,40,10,20,19,3,r1,Spain,r1,r1,r2,r1,r2 ,r2,r7 ,r5,r4,r4,r1,r1,r1 r2 ,Míçs espacio,0
113,Ronda16,8840,M,r3,r6,r3,r1,6,1,40,10,18,19,2,r1,Spain,r1,r2,r2,r4,r4 ,r2,r2 r3 r4 r5 r6 r7 r8 ,r7,r5,r1,r1,r2,r6 ,Mí©s comerí_ i menys cotxes,0
114,Clemente,38650,M,r6,r4,r1,r4,1,1,40,10,10,19,2,r2,Spain,r1,r1,r1,r6,r1 ,r2,r5 r8 ,r3,r4,r5,r1,r1,r1 ,"Mejorar el pavimento
",0
115,Tricia,8840,M,r4,r5,r3,r2,5,1,40,10,16,19,2,r1,Spain,r1,r2,r1,r1,r2 ,r2,r4 r8 r9 r10 ,r5,r4,r4,r1,r3,r6 ,"Tiendas
",0
116,Toji,8840,M,r5,r4,r3,r2,2,1,40,10,18,20,2,r1,Spain,r1,r1,r2,r3,r1 ,r2,r2 ,r3,r4,r4,r1,r2,r2 ,Zona peatonal,0
117,Antonia,8840,F,r7,r2,r1,r2,3,1,40,10,18,20,2,r1,Spain,r1,r5,r4,r6,r4 ,r2,r2 ,r1,r1,r1,r4,r1,r5 ,Limpieza,0
118,Pinchito moruno,8840,F,r1,r3,r2,r1,4,1,40,10,18,20,2,r1,Spain,r1,r1,r2,r1,r1 ,r2,r2 ,r3,r4,r4,r2,r2,r1 ,"Limpieza
",0
119,Tavira,8840,M,r1,r3,r2,r6,1,1,40,10,24,20,3,r1,Spain,r1,r1,r2,r1,r2 ,r2,r1 r2 r5 r7 ,r3,r5,r1,r1,r2,r2 ,Res,0
120,Victor rodriguez,8840,M,r1,r5,r2,r1,5,1,40,10,10,20,2,r1,Spain,r1,r4,r3,r3,r2 ,r1,na,r2,r3,r3,r2,r2,r2 ,"Nada
",0
121,Alwix,8840,M,r1,r2,r1,r1,6,1,40,10,18,20,2,r1,Spain,r1,r1,r2,r2,r1 r2 r4 ,r2,r6 r7 r8 r10 ,r8,r4,r4,r1,r2,r2 r5 ,El paviment,0
122,Jordi,8840,M,r4,r6,r3,r2,2,1,40,10,12,21,2,r1,Spain,r1,r1,r2,r3,r1 ,r2,r5 ,r4,r3,r3,r2,r2,r1 ,"Que vuelva a ser el punto de encuentro que anteriormente habí_a sido
",0
123,Josep,8840,M,r7,r5,r1,r2,6,1,40,10,18,21,2,r1,Spain,r1,r2,r1,r3,r1 r3 ,r2,r2 r4 r5 r7 ,r7,r4,r1,r1,r2,r1 ,Mí©s places verdes,0
124,Pako,8840,M,r4,r4,r1,r2,3,1,40,10,30,21,4,r2,Bulgaria,r1,r1,r2,r3,r5 ,r2,r2 ,r2,r4,r3,r1,r1,r2 ,"Fuente, wifi gratuito
",0
125,Pra527,8840,M,r4,r6,r3,r2,4,0,40,10,8,21,1,r1,Spain,r1,r2,r2,r1,r2 ,r1,na,r5,r3,r4,r2,r2,r1 r2 r4 ,Mes acivitas per a nens,0
126,Mariam,8840,M,r6,r5,r1,r1,5,1,40,10,24,21,3,r1,Spain,r1,r1,r2,r4,r1 r2 ,r1,na,r3,r5,r1,r1,r2,r1 r2 r6 ,Tota peatonal,0
