"id","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig"
111,"Ainara","08016","d",37,"r6","","r1","r2","r1","r2","r2","r1","r2","r1","r1","r2","r3","r3","r2","2015-12-23 18:35:59","2015-12-23 18:49:50",1,"2015-12-23 18:38:53",30,4,"true","false","false",18,0,5,"r1","r3",4,10,1
112,"Iolanda","25005","d",24,"r6","","r1","r3","r2","r1","r1","r1","r1","r1","r3","r2","r3","r3","r2","2015-12-23 18:37:06","2015-12-23 18:50:11",1,"2015-12-23 18:37:31",60,38,"true","false","true",18,0,6,"r1","r4",38,10,0
113,"Lucie","08003","h",48,"r6","","r1","r2","r1","r3","r3","r2","r2","r1","r1","r2","r3","r3","r2","2015-12-23 18:37:32","2015-12-23 18:49:16",1,"2015-12-23 18:41:09",20,8,"true","false","false",18,0,1,"r1","r4",8,10,0
114,"Blanqui","08001","d",24,"r6","","","","","","","","","","","","","","","2015-12-23 18:38:43","",0,"",0,0,"true","false","false",0,0,0,"","",0,0,0
115,"Blanqui","08001","d",24,"r6","","r1","r1","r2","r3","r1","r1","r3","r3","r2","r2","r3","r3","r2","2015-12-23 18:38:43","2015-12-23 18:51:29",1,"2015-12-23 18:39:45",40,16,"true","false","false",18,0,4,"r2","r4",16,10,0
116,"oskarko3000","08004","h",45,"r4","","","","","","","","","","","","","","","2015-12-23 18:52:27","",0,"",0,0,"true","false","false",0,0,0,"","",0,0,0
117,"Chusco","31000","h",36,"r4","","r1","r3","r2","r2","r2","r2","r2","r1","r1","r2","r1","r3","r2","2015-12-23 19:03:55","2015-12-23 19:21:26",1,"2015-12-23 19:04:07",60,44,"true","false","false",19,0,1,"r3","r4",44,10,0
118,"Teo","08850","h",25,"r6","","r1","r2","r2","r3","r3","r1","r1","r1","r3","r2","r3","r3","r2","2015-12-23 19:04:53","2015-12-23 19:21:15",1,"2015-12-23 19:07:06",30,4,"true","false","false",19,0,4,"r1","r1",4,10,0
119,"Eva Ruiz","08015","d",37,"r6","","","","","","","","","","","","","","","2015-12-23 19:05:39","",0,"2015-12-23 19:05:58",40,16,"true","false","false",19,0,5,"","",16,10,1
120,"Lobo","08003","h",44,"r5","","r1","r2","r2","r3","r3","r3","r1","r1","r2","r2","r3","r3","r2","2015-12-23 19:06:38","2015-12-23 19:26:00",1,"2015-12-23 19:10:10",20,0,"true","false","false",19,0,3,"r3","r3",0,10,0
121,"Ale","08028","d",28,"r6","","r1","r3","r1","r3","r3","r1","r1","r1","r3","r2","r3","r3","r2","2015-12-23 19:07:06","2015-12-23 19:23:16",1,"2015-12-23 19:11:54",40,14,"true","false","true",19,0,6,"r2","r3",14,10,0
122,"Ruth","08320","h",28,"r5","","r1","r2","r2","r2","r3","r3","r1","r1","r1","r2","r4","r3","r2","2015-12-23 19:11:18","2015-12-23 19:22:28",1,"2015-12-23 19:12:17",50,26,"true","true","false",19,0,2,"r2","r3",26,10,0
123,"Pinp","08003","h",34,"r6","","","","","","","","","","","","","","","2015-12-23 19:27:27","",0,"",0,0,"true","true","true",0,0,0,"","",0,0,0
