"","user_id","partida","seleccio.1","seleccio.2","seleccio.3","seleccio.4","seleccio.5","seleccio.6","seleccio.7","seleccio.8","seleccio.9","seleccio.10","mean_contr","SD","mean.1","mean.2","mean.3","mean.4","mean.5","mean.6","mean.7","mean.8","mean.9","mean.10","comp_mean1","comp_mean2","comp_mean3","comp_mean4","comp_mean5","comp_mean6","comp_mean7","comp_mean8","comp_mean9","comp_mean10","comp_last_mean2","comp_last_mean3","comp_last_mean4","comp_last_mean5","comp_last_mean6","comp_last_mean7","comp_last_mean8","comp_last_mean9","comp_last_mean10","cond_coop2","cond_coop3","cond_coop4","cond_coop5","cond_coop6","cond_coop7","cond_coop8","cond_coop9","cond_coop10","free_1","free_2","free_3","free_4","free_5","free_6","free_7","free_8","free_9","free_10","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig","agegroups"
"11",12,2,3,4,4,4,4,3,3,3,4,3,3.5,0.52704627669473,3.16666666666667,3.83333333333333,3.5,3.83333333333333,3,2.66666666666667,2.16666666666667,2,3,1.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Sara",8760,"female",25,"prof",NA,"No","Very Much","Yes, from the beginning","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:13:14.798016","2015-12-12 11:25:12.857838",1,"2015-12-12 11:16:22.525200",60,25,"true","false","true",2,0,5,"Carbon footprint","15%",25,10,1,"25-29"
"12",13,3,4,4,4,4,4,4,4,1,1,0,3,1.63299316185545,2.83333333333333,2.5,3,3.5,3,3,2.33333333333333,1.16666666666667,1.66666666666667,0.833333333333333,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Amnesia",8690,"male",35,"bachillerat",NA,"No","Very Much","Yes, from the beginning","My contribution should not depend on this","My contribution should not depend on this","n/a","Disagree","Disagree","Disagree","Greenhouse Effect","China","Nuclear energy","Treaty of Versailles","2015-12-12 11:13:43.373613","2015-12-12 11:33:49.931769",1,"2015-12-12 11:21:50.754231",30,0,"true","false","false",3,0,5,"Individual gas fee","5%",0,10,1,"35-39"
"13",14,2,4,4,4,4,4,3,2,3,2,0,3,1.33333333333333,3.16666666666667,3.83333333333333,3.5,3.83333333333333,3,2.66666666666667,2.16666666666667,2,3,1.66666666666667,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"Xerox",8783,"male",25,"bachillerat",NA,"No","Very Much","Yes, from the beginning","My contribution should not depend on this","My contribution should not depend on this","n/a","Agree","Disagree","Agree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:14:00.272294","2015-12-12 11:23:59.120743",1,"2015-12-12 11:16:40.745925",50,20,"true","false","false",2,0,1,"Eco-Impact","15%",20,10,1,"25-29"
"14",15,3,2,1,3,3,4,3,1,1,1,0,1.9,1.28668393770792,2.83333333333333,2.5,3,3.5,3,3,2.33333333333333,1.16666666666667,1.66666666666667,0.833333333333333,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Ingridssi",8783,"female",25,"bachillerat",NA,"No","Very Much","No, after a few rounds","Disagree","My contribution should not depend on this","Agree","Agree","Agree","Agree","Greenhouse Effect","Italy","Solar energy","Declaration of Helsinki","2015-12-12 11:14:03.614429","2015-12-12 11:31:52.757395",1,"2015-12-12 11:21:50.243505",20,1,"true","false","false",3,0,6,"Reduced environmental cost","5%",1,10,1,"25-29"
"15",16,3,3,2,3,4,3,4,4,2,1,3,2.9,0.994428926011753,2.83333333333333,2.5,3,3.5,3,3,2.33333333333333,1.16666666666667,1.66666666666667,0.833333333333333,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Flor",8027,"female",15,"none",NA,"No","Somewhat","Yes, after a few rounds","My contribution should not depend on this","My contribution should not depend on this","Disagree","n/a","Agree","Agree","Greenhouse Effect","Italy","Solar energy","Schengen Agreement","2015-12-12 11:16:36.167797","2015-12-12 11:34:10.961721",1,"2015-12-12 11:21:51.872256",60,31,"true","false","false",3,0,4,"Individual gas fee","15%",31,10,1,"15-19"
"16",17,3,2,2,2,3,1,2,2,1,0,0,1.5,0.97182531580755,2.83333333333333,2.5,3,3.5,3,3,2.33333333333333,1.16666666666667,1.66666666666667,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"PH",8921,"male",53,"secondary",NA,"No","Somewhat","Yes, after a few rounds","My contribution should not depend on this","My contribution should not depend on this","n/a","n/a","Agree","n/a","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:19:47.304756","2015-12-12 11:33:13.764391",1,"2015-12-12 11:21:52.338780",40,25,"true","false","false",3,0,3,"Eco-Impact","15%",25,10,1,"50-54"
"17",18,3,2,2,3,3,4,2,2,2,3,2,2.5,0.707106781186548,2.83333333333333,2.5,3,3.5,3,3,2.33333333333333,1.16666666666667,1.66666666666667,0.833333333333333,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Janis ",8027,"female",25,"primary",NA,"No","Somewhat","Yes, from the beginning","My contribution should not depend on this","My contribution should not depend on this","n/a","Agree","Agree","n/a","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:22:37.056436","2015-12-12 11:32:03.423651",1,"2015-12-12 11:25:15.636768",40,15,"true","false","false",3,0,2,"Individual gas fee","5%",15,10,1,"25-29"
"18",19,3,4,4,3,4,2,3,1,0,4,0,2.5,1.64991582276861,2.83333333333333,2.5,3,3.5,3,3,2.33333333333333,1.16666666666667,1.66666666666667,0.833333333333333,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,"Totales",8901,"male",36,"prof",NA,"Yes","Very Much","Yes, after a few rounds","My contribution should not depend on this","My contribution should not depend on this","n/a","Agree","Disagree","Agree","Greenhouse Effect","U.S","Solar energy","Kyoto Protocol","2015-12-12 11:22:46.751889","2015-12-12 11:31:08.440866",1,"2015-12-12 11:25:10.274570",50,25,"true","false","false",3,0,1,"Carbon footprint","20%",25,10,1,"35-39"
"19",20,4,1,2,3,2,2,2,3,1,2,2,2,0.666666666666667,1.83333333333333,3,2.83333333333333,1.5,2.16666666666667,2,2.33333333333333,1,2,2,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Lionel",8027,"male",23,"secondary",NA,"No","Very Much","Yes, after a few rounds","My contribution should not depend on this","My contribution should not depend on this","Agree","Agree","Agree","Agree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:23:03.875131","2015-12-12 11:51:35.411954",1,"2015-12-12 11:26:37.676412",40,20,"true","false","false",4,0,6,"Individual gas fee","2%",20,10,1,"20-24"
"20",21,4,2,2,3,1,4,2,4,3,0,2,2.3,1.25166555703457,1.83333333333333,3,2.83333333333333,1.5,2.16666666666667,2,2.33333333333333,1,2,2,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,"Deiv82",8030,"male",33,"prof",NA,"No","Very Much","Yes, after a few rounds","Disagree","Disagree","Agree","Agree","Agree","n/a","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:25:56.898479","2015-12-12 11:48:28.851632",1,"2015-12-12 11:32:05.633401",40,17,"true","false","false",4,0,2,"Individual gas fee","5%",17,10,1,"30-34"
"21",22,4,2,4,3,2,1,1,2,1,4,3,2.3,1.15950180872841,1.83333333333333,3,2.83333333333333,1.5,2.16666666666667,2,2.33333333333333,1,2,2,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Taniarole",8042,"male",33,"prof",NA,"Yes, in previous ds experiments","Very Much","Yes, after a few rounds","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Greenhouse Effect","U.S","Solar energy","Kyoto Protocol","2015-12-12 11:27:45.241263","2015-12-12 11:50:31.608653",1,"2015-12-12 11:32:40.958812",40,17,"true","false","false",4,0,3,"Carbon footprint","20%",17,10,1,"30-34"
"22",23,4,2,3,4,0,1,3,0,0,1,0,1.4,1.50554530541816,1.83333333333333,3,2.83333333333333,1.5,2.16666666666667,2,2.33333333333333,1,2,2,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,"mfazarias14",8027,"male",15,"primary",NA,"No","Very Much","No, after a few rounds","My contribution should not depend on this","My contribution should not depend on this","Agree","Agree","Agree","Agree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:34:44.153726","2015-12-12 11:50:00.631378",1,"2015-12-12 11:36:48.425861",40,26,"true","false","false",4,0,1,"Eco-Impact","20%",26,10,1,"15-19"
"23",24,4,2,3,1,1,3,2,1,0,2,2,1.7,0.948683298050514,1.83333333333333,3,2.83333333333333,1.5,2.16666666666667,2,2.33333333333333,1,2,2,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,"Muy",8402,"male",33,"bachillerat",NA,"Yes, in previous ds experiments","Very Much","Yes, after a few rounds","Agree","My contribution should not depend on this","Agree","Agree","Agree","Disagree","Doppler Effect","U.S","Solar energy","Kyoto Protocol","2015-12-12 11:37:39.826950","2015-12-12 11:51:23.998296",1,"2015-12-12 11:41:17.742734",40,23,"true","false","false",4,0,5,"Carbon footprint","15%",23,10,1,"30-34"
"24",25,4,2,4,3,3,2,2,4,1,3,3,2.7,0.948683298050514,1.83333333333333,3,2.83333333333333,1.5,2.16666666666667,2,2.33333333333333,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Psicóloga",8600,"female",22,"prof",NA,"No","Somewhat","Yes, from the beginning","My contribution should not depend on this","My contribution should not depend on this","Agree","n/a","Agree","Agree","Greenhouse Effect","Italy","Solar energy","Declaration of Helsinki","2015-12-12 11:37:58.523116","2015-12-12 11:48:14.636080",1,"2015-12-12 11:40:04.080566",40,13,"true","false","false",4,0,4,"Eco-Impact","5%",13,10,1,"20-24"
"25",26,5,4,4,3,3,2,3,1,0,4,4,2.8,1.3984117975602,2.66666666666667,2.33333333333333,1.83333333333333,2.83333333333333,1.83333333333333,2.16666666666667,1.5,0.833333333333333,2.16666666666667,3.16666666666667,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"Albertgc3",8600,"male",23,"bachillerat",NA,"No","Somewhat","No, after a few rounds","Disagree","Agree","Agree","Disagree","Agree","n/a","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:38:48.795744","2015-12-12 11:59:03.768841",1,"2015-12-12 11:42:21.157807",30,2,"true","false","false",5,0,3,"Eco-Impact","15%",2,10,1,"20-24"
"26",27,5,4,0,1,1,0,4,0,0,2,2,1.4,1.57762127549323,2.66666666666667,2.33333333333333,1.83333333333333,2.83333333333333,1.83333333333333,2.16666666666667,1.5,0.833333333333333,2.16666666666667,3.16666666666667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,"A patito",8402,"female",31,"prof",NA,"Yes, in previous ds experiments","Very Much","Yes, from the beginning","My contribution should not depend on this","My contribution should not depend on this","Agree","Agree","Agree","Agree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:39:05.226395","2015-12-12 11:59:05.642596",1,"2015-12-12 11:42:26.699879",40,26,"true","false","false",5,0,5,"Eco-Impact","5%",26,10,1,"30-34"
"27",28,5,1,1,1,3,1,1,1,0,1,2,1.2,0.788810637746616,2.66666666666667,2.33333333333333,1.83333333333333,2.83333333333333,1.83333333333333,2.16666666666667,1.5,0.833333333333333,2.16666666666667,3.16666666666667,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Panero la",8023,"male",44,"prof",NA,"Yes","Very Much","Yes, from the beginning","My contribution should not depend on this","My contribution should not depend on this","Agree","Agree","Disagree","Agree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:41:34.563988","2015-12-12 11:56:32.551294",1,"2015-12-12 11:42:51.986364",20,8,"true","false","false",5,0,2,"Carbon footprint","20%",8,10,1,"40-44"
"28",29,5,2,3,1,4,3,0,1,0,3,3,2,1.4142135623731,2.66666666666667,2.33333333333333,1.83333333333333,2.83333333333333,1.83333333333333,2.16666666666667,1.5,0.833333333333333,2.16666666666667,3.16666666666667,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"Quiso",8850,"male",52,"primary",NA,"No","Somewhat","Yes, after a few rounds","Disagree","My contribution should not depend on this","n/a","Disagree","Agree","Disagree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:44:27.593978","2015-12-12 11:58:47.448229",1,"2015-12-12 11:49:01.049805",40,20,"true","false","false",5,0,1,"Carbon footprint","5%",20,10,1,"50-54"
"29",30,5,2,2,3,2,1,3,2,1,0,4,2,1.15470053837925,2.66666666666667,2.33333333333333,1.83333333333333,2.83333333333333,1.83333333333333,2.16666666666667,1.5,0.833333333333333,2.16666666666667,3.16666666666667,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,"Claudia",8020,"female",12,"primary",NA,"No","Somewhat","No, after a few rounds","Disagree","Agree","n/a","Agree","Agree","Agree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:44:51.821188","2015-12-12 11:58:48.675413",1,"2015-12-12 11:49:09.596139",60,40,"true","false","false",5,0,6,"Carbon footprint","5%",40,10,1,"10-14"
"30",31,6,2,3,4,1,3,1,1,0,1,1,1.7,1.25166555703457,2.16666666666667,2.66666666666667,2.66666666666667,2.33333333333333,2.16666666666667,1.83333333333333,1.83333333333333,2,1.66666666666667,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Patufeta",8550,"female",50,"primary",NA,"No","Very Much","Yes, after a few rounds","My contribution should not depend on this","Disagree","n/a","Agree","Agree","Disagree","Greenhouse Effect","China","Solar energy","Kyoto Protocol","2015-12-12 11:45:56.041989","2015-12-12 12:13:53.998246",1,"2015-12-12 11:53:31.540318",40,23,"true","false","false",6,0,5,"Reduced environmental cost","2%",23,10,1,"50-54"
"31",32,5,3,4,2,4,4,2,4,4,3,4,3.4,0.843274042711568,2.66666666666667,2.33333333333333,1.83333333333333,2.83333333333333,1.83333333333333,2.16666666666667,1.5,0.833333333333333,2.16666666666667,3.16666666666667,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jordii01",8550,"male",14,"none",NA,"No","Very Much","Yes, after a few rounds","My contribution should not depend on this","My contribution should not depend on this","Agree","Disagree","Disagree","Agree","Greenhouse Effect","Italy","Solar energy","Treaty of Versailles","2015-12-12 11:46:11.461914","2015-12-12 12:01:58.571089",1,"2015-12-12 11:50:22.246083",50,16,"true","false","false",5,0,4,"Carbon footprint","20%",16,10,1,"10-14"
"32",33,6,1,2,1,3,1,0,2,2,4,3,1.9,1.19721899973786,2.16666666666667,2.66666666666667,2.66666666666667,2.33333333333333,2.16666666666667,1.83333333333333,1.83333333333333,2,1.66666666666667,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"Julia_14",8550,"female",14,"primary",NA,"No","Somewhat","Yes, after a few rounds","Disagree","Disagree","n/a","Agree","n/a","Agree","Greenhouse Effect","China","Solar energy","Treaty of Versailles","2015-12-12 11:48:25.721385","2015-12-12 12:15:30.319610",1,"2015-12-12 11:53:33.878931",40,21,"true","false","false",6,0,4,"Reduced environmental cost","15%",21,10,1,"10-14"
"33",34,6,1,2,4,4,0,1,2,3,1,1,1.9,1.3703203194063,2.16666666666667,2.66666666666667,2.66666666666667,2.33333333333333,2.16666666666667,1.83333333333333,1.83333333333333,2,1.66666666666667,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"Casta ya",8512,"female",30,"prof",NA,"No","Somewhat","Yes, after a few rounds","Agree","Agree","Agree","Disagree","Agree","Disagree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:57:50.783664","2015-12-12 12:12:28.176448",1,"2015-12-12 12:01:24.607294",40,21,"true","false","true",6,0,1,"Individual gas fee","15%",21,10,1,"30-34"
"34",35,6,2,4,1,3,3,4,2,3,1,0,2.3,1.33749350984926,2.16666666666667,2.66666666666667,2.66666666666667,2.33333333333333,2.16666666666667,1.83333333333333,1.83333333333333,2,1.66666666666667,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Rocío moja",8512,"male",37,"prof",NA,"No","Very Much","Yes, from the beginning","My contribution should not depend on this","My contribution should not depend on this","Agree","Agree","Disagree","Agree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:58:06.876513","2015-12-12 12:11:40.628597",1,"2015-12-12 12:01:27.934363",40,17,"true","false","false",6,0,3,"Individual gas fee","15%",17,10,1,"35-39"
